card_type,card_text,expansion
dare,Sit on another players lap until your next turn (or they can sit on yours),core
dare,Remove an article of clothing.,core
dare,Fake an orgasm.,core
dare,Flash or moon everyone.,core
group,All players of the opposite sex remove an article of clothing.,core
dare,Give a 30 second lap dance to another player.,core
dare,"Whisper ""I want to fuck the shit out of you,"" or something similarly filthy into another players ear.",core
dare,Get 5 spanks from another player.,core
dare,Blow a raspberry on the stomach of another player.,core
challenge,Use your best pick up line on another player. They use theirs on you. The group picks the winner.,core
dare,Let everyone grab your ass.,core
dare,Do a body shot off another player.,core
dare,Survive 30 seconds of being tickled by another player.,core
truth,Have you ever had a threesome?,vanilla
truth,Point to the players in the room you want to see fuck each other the most.,vanilla
truth,What is your record for how many times you've masturbated in a 24 hour period?,vanilla
truth,What is your favorite sex position?,vanilla
truth,Name your most unusual celebrity crush.,vanilla
challenge,Go around the room and name different sex toys. First hesitation or repeat loses.,core
challenge,"Spin the bottle. Kiss that player, or pass your spin to them.",core
challenge,Tell two truths and a lie. Choose a player to answer.,core
truth,Have you ever filmed a porno?,vanilla
dare,Show the group a photo from your secret collection.,core
group,"On 3, everyone point to the player who has partaken in the most anal.",core
truth,Have you ever given or received road head?,vanilla
truth,Are you a member of the mile high club?,vanilla
truth,What was the last role play scenario you and your partner performed?,vanilla
dare,"Pin, or let another player pin you against the wall for 30 seconds.",core
dare,Choose another player to remove an article of clothing from you.,core
truth,Would you rather watch your partner have a threesome with another couple or have your partner watch you?,vanilla
truth,Have you ever had anal sex? Did you enjoy it?,vanilla
truth,Do you like to be spanked? Are you into dom/sub play or any sort during sex?,vanilla
truth,"Have you ever done anything sexual with someone of the same sex? If not, would you?",vanilla
truth,Voyeur or Exhibitionist?,vanilla
truth,"Name two places, outside of the house, where you would like to have sex.",vanilla
truth,What turns you off?,vanilla
dare,Use your foot to rub another players crotch for 30 seconds.,core
challenge,Wild Card - This card allows you to choose what you want done to you and by whom.,core
truth,Is there anything you won't do in bed?,vanilla
truth,Describe your sexual fantasy in as much detail as possible.,vanilla
truth,"If you could have sex with any celebrity, whom would you choose?",vanilla
dare,Check a player for breast or testicular cancer.,pineapple
challenge,"Give another player a semi-chub, or erect nipple in 30 seconds or less.",pineapple
dare,Motorboat another player.,pineapple
dare,Sit on another players lap (or they can sit on yours) and give them a hickey.,pineapple
dare,Have another player write their name on your tits or ass.,pineapple
challenge,Have two players kiss you. Pick the winner.,pineapple
dare,Rub another players crotch for 30 seconds.,pineapple
dare,"Pick two people and all three of you stand. Rub them both below the waist simultaneously, while kissing one of them.",pineapple
dare,"While kissing another player, guide their hand to a place you want them to rub.",pineapple
challenge,"Close your eyes, and a random player must kiss you. If you guess who it was, they lose.",pineapple
dare,Offer your partner to be felt up by the group for a minute.,pineapple
dare,Help another player remove an article of clothing.,pineapple
dare,"Stimulate two parts of another players body at the same time. Use your hand on one part, and your mouth on another.",pineapple
challenge,"You're the director. Select your cast and have them perform a short scene. If they refuse, they lose.",pineapple
dare,"You and your partner choose another player and double team them using your lips, tongue, and hands.",pineapple
dare,Text another player a nude.,pineapple
challenge,Seven Minutes in Heaven - Disappear to a secluded location with another player for seven minutes.,pineapple
truth,What is the most embarrassing thing you've done to get someone's attention?,vanilla
truth,Have you ever lied to get someone into bed? What did you say?,vanilla
truth,What body part on another person do you notice first? Who in the group has the best? ,vanilla
group,"Everyone who has had sex in the last 24 hours, removes an article of clothing.",core
truth,Have you ever had a sex dream about someone in this room?,vanilla
challenge,Make prolonged eye contact with the player across from you for 60 seconds without laughing or looking away.,vanilla
dare,Let another player unbutton or unzip one item of your clothing and leave it that way.,core
dare,"Give another player a slow, 60-second back or shoulder massage.",core
dare,Kiss the neck of another player for 10 seconds.,pineapple
challenge,Two players compete to see who can whisper the most convincing dirty talk. The room votes on the winner.,pineapple
truth,Have you ever hooked up with someone you met that same night? How did it go?,vanilla
truth,Have you ever sent or received a nude photo? Any regrets?,vanilla
truth,Have you ever had sex in a public place with a real risk of being caught?,vanilla
truth,What is the most adventurous place you have ever had sex or fooled around?,vanilla
truth,Have you ever faked being asleep to avoid or initiate sex?,vanilla
truth,What is the longest you have gone without sex as an adult — and what broke the streak?,vanilla
truth,What is a sexual experience you have had that you have never told anyone about?,vanilla
truth,Have you ever been caught in the act? What happened?,vanilla
dare,Sit in another player's lap and stay there until you draw your next card.,pineapple
group,Everyone close their eyes. On 3 point to the player in the room with the best body. Open your eyes.,core
group,Every player whispers one word to describe the person on their left — something you'd say in the bedroom.,pineapple
